"10110","10120","10130","10140","10150","10160","10210","10220","10230","10240","10250","10260",
"10270","10310","10320","10330","10340","10350","10410","10420","10430","10440","10450","10460","10510",
"10520","10530","10540","10550","10560","10570","10610","10620","10630","10640","10650","10710","10720",
"10730","10740","10750","11110","11120","11130","11140","11150","11160","11170","11180","11210","11220",
"11230","11240","11250","11260","11270","11310","11320","11330","11350","11410","11420","11430","11440",
"11450","11460","11470","11480","11510","11520","11530","11540","11550","11560","11610","11620","11630",
"11640","11650","11710","11720","11730","11740","11750","11810","11820","11830","11840","11850","11910",
"12110","12120","12130","12140","12150","12160","12170","12180","12190","12210","12220","12230","12240",
"12250","12260","12270","12310","12320","12330","12370","12410","12420","12430","12440","12450","12460",
"12510","12520","12530","12540","12550","12560","12610","12620","12630","12640","12710","12720","12730",
"12740","12750","12760","12770","12780","12790","12810","12820","12830","12840","12850","12860","12870",
"12880","12910","12920","12930","12940","12950","12960","12970","12980","13110","13120","13122","13127",
"13130","13140","13150","13210","13220","13230","13240","13250","13260","13310","13320","13330","13340",
"13350","13410","13420","13430","13440","13450","13460","13470","13510","13520","13530","13540","13550",
"13560","13570","13610","13620","13630","13640","13650","13710","13720","13730","13740","13750","13760",
"13770","13780","13790","13810","13820","13830","13840","13850","13860","13870","13880","13890","13910",
"13920","13930","13940","13950","13960","14110","14120","14130","14140","14150","14210","14220","14230",
"14240","14250","14260","14270","14310","14320","14330","14340","14350","14410","14420","14430","14440",
"14450","14460","14470","14480","14640","15111","15112","15113","15114","15115","15118","15122","15560",
"16111","16112","16113","16114","16121","16122","16123","16124","16131","16132","16133","16134","16135",
"16141","16142","16143","16144","16151","16152","16153","16154","16161","16162","16411","16412","16413",
"16414","16415","16416","16417","16418","16421","16422","16423","16424","16425","16426","16431","16432",
"16433","16434","16435","16436","16524","16710","16911","16912","16915","16916","16917","16918","17111",
"17112","17113","17114","17115","17124","17131","17132","17133","17134","17135","17136","17141","17142",
"17143","17144","17145","17146","17147","17148","17411","17412","17413","17414","17415","17421","17422",
"17423","17424","17431","17433","20111","20112","20113","20114","20115","20116","20117","20118","20119",
"20121","20122","20123","20124","20125","20126","20127","20128","20131","20132","20135","20136","20141",
"20142","20143","20144","20145","20146","20147","20148","20149","20151","20152","20153","20154","20155",
"20156","20157","20158","20159","20211","20212","20213","20214","20215","20216","20217","20218","20219",
"20221","20222","20223","20224","20225","20226","20227","20228","20229","20231","20232","20233","20234",
"20235","20236","20237","20238","20239","20241","20242","20243","20244","20245","20247","20252","20258",
"20411","20412","20413","20414","20511","20512","20513","20514","20515","20516","20517","20518","20611",
"20612","20613","20614","20615","20616","20621","20622","20623","20624","20625","20626","20627","20631",
"20632","20633","20634","20635","20711","20712","20713","20714","20716","20717","20718","20719","20721",
"20722","20723","20724","20725","20726","20731","20732","20733","20734","20735","20736","20741","20742",
"20743","20744","20745","20746","20747","20811","20812","20813","20814","20815","21111","21112","21113",
"21114","21115","21116","21117","21118","21121","21122","21123","21124","21125","21126","21127","21128",
"21129","21131","21132","21133","21134","21135","21136","21139","21141","21142","21143","21144","21145",
"21146","21147","21212","21214","21215","21216","21221","21222","21223","21224","21311","21312","21321",
"21322","21331","21332","21333","21334","21341","21342","21343","21344","21361","21362","21363","21364",
"21365","21411","21412","21413","21414","21415","22111","22112","22113","22114","22115","22151","22211",
"22212","22213","22214","22251","22311","22312","22313","22314","22315","22316","22351","22411","22412",
"22413","22414","22415","22416","22417","22418","22419","22451","22452","22461","22471","22511","22512",
"22513","22514","22521","22522","22523","22524","22531","22532","22533","22651","22711","22712","22713",
"22714","22715","22716","22717","22718","22719","22721","22722","22723","22724","22725","22726","22727",
"22811","22812","22813","22814","22815","22816","22817","22851","22911","22912","22913","22914","22915",
"22916","22917","22919","23111","23114","23115","23117","23118","23121","23122","23123","23124","23125",
"23126","23127","23129","23131","23137","23139","23144","23149","23231","23233","23234","23235","23236",
"23237","23239","23241","23242","23243","23244","23247","23249","23352","23424","23511","23512","23513",
"23514","23515","23516","23517","23518","23521","23522","23523","23524","23525","23526","23527","23528",
"23529","23611","23612","23613","23614","23615","23616","23617","23711","23712","23713","23714","23715",
